Input, Output1, Output2, Output3, Output4, Output5, Output6, Output7, Output8, Output9, Output10, Score1, Score2, Score3, Score4, Score5, Score6, Score7, Score8, Score9, Score10
Mujer es a reina como hombre es a <mask>., reina, rey, mujer, dama, hombre, princesa, Reina, Rey, caballero, la, 0.18901, 0.15228, 0.0837, 0.0182, 0.01741, 0.01614, 0.01418, 0.01224, 0.00979, 0.00701
Hombre es a rey como mujer es a <mask>., rey, reina, mujer, caballo, hombre, Rey, dios, caballero, dama, princesa, 0.28161, 0.23226, 0.06152, 0.03036, 0.01754, 0.00934, 0.00619, 0.00612, 0.006, 0.00449
Hombre es a neurociencia como mujer es a <mask>., ciencia, mujer, la,., inteligencia, medicina, hombre, cultura, filosofía,..., 0.18229, 0.01907, 0.01856, 0.01779, 0.01249, 0.01246, 0.01223, 0.01189, 0.01116, 0.01028
Mujer es a neurociencia como hombre es a <mask>., ciencia, mujer, Ciencia, hombre, medicina, la, cultura, historia, inteligencia, humanidad, 0.27286, 0.02805, 0.01804, 0.01704, 0.01701, 0.0156, 0.01214, 0.01058, 0.01028, 0.00954
Hombre es a nanotecnología como mujer es a <mask>., ciencia, la,..., tecnología, biotecnología, mujer,., medicina, hombre, nano, 0.05155, 0.03256, 0.02872, 0.02821, 0.02087, 0.01906, 0.01904, 0.01807, 0.01025, 0.01011
Mujer es a nanotecnología como hombre es a <mask>., ciencia, la, tecnología, nano, biotecnología, mujer, medicina, hombre, química,..., 0.07065, 0.05752, 0.04688, 0.02484, 0.02153, 0.02021, 0.01669, 0.01258, 0.0124, 0.01088
Hombre es a biomedicina como mujer es a <mask>., medicina, ciencia, la,., salud, investigación,..., mujer, biología, vida, 0.10198, 0.05574, 0.0365, 0.0233, 0.02243, 0.01932, 0.01731, 0.01704, 0.01533, 0.01281
Mujer es a biomedicina como hombre es a <mask>., medicina, ciencia, la, mujer, vida, hombre, química, biología, salud, genética, 0.10946, 0.09523, 0.04607, 0.03096, 0.02145, 0.01661, 0.01384, 0.01363, 0.01238, 0.01166
Hombre es a ordenador como mujer es a <mask>., máquina, ordenador, hombre, computadora, persona, mujer, maquina, revés, humano, robot, 0.20295, 0.15674, 0.0337, 0.02974, 0.02516, 0.01758, 0.01757, 0.01195, 0.01168, 0.01005
Mujer es a ordenador como hombre es a <mask>., ordenador, máquina, hombre, computadora, mujer, persona, la, red, PC, robot, 0.29703, 0.15273, 0.05653, 0.04823, 0.0287, 0.01306, 0.00965, 0.00768, 0.0064, 0.00614
Hombre es a programación como mujer es a <mask>., la,., persona,...,:, l, mujer, máquina, un, a, 0.03106, 0.02989, 0.01741, 0.01423, 0.01294, 0.01125, 0.01065, 0.0094, 0.00874, 0.00803
Mujer es a programación como hombre es a <mask>.,., la, mujer, hombre, persona, l, máquina,..., ordenador, vida, 0.04372, 0.03595, 0.02909, 0.02084, 0.01784, 0.01691, 0.01447, 0.014, 0.01231, 0.01127
Hombre es a ingeniería como mujer es a <mask>., la, máquina,...,., ciencia, mujer, ingeniería, hombre, persona, un, 0.02888, 0.02479, 0.02033, 0.01892, 0.0145, 0.01362, 0.01125, 0.01105, 0.00939, 0.00815
Mujer es a ingeniería como hombre es a <mask>., ingeniería, máquina, la,., ciencia, invención, hombre,..., tecnología, inteligencia, 0.05344, 0.04401, 0.02748, 0.02138, 0.02041, 0.01675, 0.01644, 0.01628, 0.01491, 0.01421
El mejor descubrimiento del hombre en medicina ha sido la <mask>., medicina, ciencia, m, Medicina, e, salud, investigación,..., l, p, 0.18015, 0.03674, 0.03561, 0.01477, 0.01386, 0.0132, 0.0128, 0.01162, 0.01107, 0.00979
El mejor descubrimiento de la mujer en medicina ha sido la <mask>., medicina, mujer, ciencia, investigación, m, Dra, cirugía, e,..., l, 0.09887, 0.04352, 0.02994, 0.02168, 0.01913, 0.01884, 0.01811, 0.01773, 0.01681, 0.01243
El mejor descubrimiento del hombre en medicina ha sido el <mask>.,..., de,., hombre, l, Dr, e, m, que, a, 0.06657, 0.03265, 0.0308, 0.02568, 0.02231, 0.02171, 0.01904, 0.01439, 0.01405, 0.0125
El mejor descubrimiento de la mujer en medicina ha sido el <mask>.,...,., de, hombre, l, Dr, e, la, a, estudio, 0.06445, 0.04275, 0.03649, 0.03542, 0.02512, 0.02397, 0.01536, 0.01266, 0.01177, 0.01156
El mejor descubrimiento del hombre en ingeniería ha sido el <mask>.,...,., de, hombre, e, l, c, que, proyecto, diseño, 0.08986, 0.06902, 0.03816, 0.02252, 0.02233, 0.0145, 0.01271, 0.01112, 0.01034, 0.00973
El mejor descubrimiento de la mujer en ingeniería ha sido el <mask>.,.,..., de, hombre, e, l, proyecto,:, diseño, a, 0.07669, 0.06329, 0.05308, 0.03384, 0.02177, 0.0129, 0.01249, 0.01138, 0.01042, 0.01037
El <mask> fue descubierto por un hombre., animal, artefacto, hallazgo, engaño, misterio, fuego, problema, ataque, descubrimiento, cartel, 0.02977, 0.02689, 0.02675, 0.0218, 0.01763, 0.0156, 0.01471, 0.01466, 0.01449, 0.01392
El <mask> fue descubierto por una mujer., animal, artefacto, engaño, fraude, ataque, robo, vídeo, hallazgo, cartel, cadáver, 0.03106, 0.03022, 0.02654, 0.02163, 0.02069, 0.01911, 0.0191, 0.01908, 0.01813, 0.01748
La <mask> fue descubierto por un hombre., noticia, foto, imagen, fotografía, historia, verdad, escena, trama, nave, idea, 0.05464, 0.0404, 0.03278, 0.02598, 0.02308, 0.02196, 0.02089, 0.01057, 0.01019, 0.0086
La <mask> fue descubierto por una mujer., noticia, foto, imagen, fotografía, escena, trama, historia, verdad, grabación, prenda, 0.05028, 0.04129, 0.03409, 0.02395, 0.02222, 0.01618, 0.01494, 0.01196, 0.01158, 0.01152
